,Location,BedRooms,WashRooms,AreaCount,Area,Currency,Price
0,0,3,3,125, Sq. Yd,PKR,1.25 Crore
1,1,2,2,120, Sq. Yd,PKR,1.1 Crore
2,2,3,3,152, Sq. Yd,PKR,1.5 Crore
3,3,3,3,200, Sq. Yd,PKR,2  Crore
4,4,4,4,350, Sq. Yd,PKR,1.5 Crore
5,4,4,4,350, Sq. Yd,PKR,2  Crore
6,2,3,4,152, Sq. Yd,PKR,1.4 Crore
7,5,3,4,125, Sq. Yd,PKR,1.15 Crore
8,6,3,4,200, Sq. Yd,PKR,1.35 Crore
9,7,3,3,125, Sq. Yd,PKR,1.3 Crore
10,8,4,5,120, Sq. Yd,PKR,4.7 Crore
11,9,4,4,120, Sq. Yd,PKR,1.75 Crore
12,7,3,3,125, Sq. Yd,PKR,1.3 Crore
13,7,3,3,125, Sq. Yd,PKR,1.3 Crore
14,7,3,3,125, Sq. Yd,PKR,1.3 Crore
15,7,3,3,125, Sq. Yd,PKR,1.3 Crore
16,7,3,3,125, Sq. Yd,PKR,1.3 Crore
17,7,3,3,125, Sq. Yd,PKR,1.3 Crore
18,7,3,3,125, Sq. Yd,PKR,1.3 Crore
19,7,3,3,125, Sq. Yd,PKR,1.3 Crore
20,9,3,3,120, Sq. Yd,PKR,1.55 Crore
21,10,3,3,120, Sq. Yd,PKR,2  Crore
22,11,4,3,100, Sq. Yd,PKR,2.75 Crore
23,11,4,4,100, Sq. Yd,PKR,2.8 Crore
24,12,4,4,300, Sq. Yd,PKR,6.25 Crore
25,13,4,6,250, Sq. Yd,PKR,5.5 Crore
26,14,4,3,300, Sq. Yd,PKR,5.7 Crore
27,12,4,6,300, Sq. Yd,PKR,5.75 Crore
28,14,3,2,300, Sq. Yd,PKR,6.6 Crore
29,2,4,5,150, Sq. Yd,PKR,1.4 Crore
30,15,4,3,60, Sq. Yd,PKR,1.2 Crore
31,10,8,5,80, Sq. Yd,PKR,1.2 Crore
32,9,3,5,240, Sq. Yd,PKR,3.7 Crore
33,16,6,5,240, Sq. Yd,PKR,3.7 Crore
34,15,2,5,400, Sq. Yd,PKR,4.6 Crore
35,17,5,3,120, Sq. Yd,PKR,2.35 Crore
36,15,3,3,240, Sq. Yd,PKR,3.2 Crore
37,5,5,3,125, Sq. Yd,PKR,1.26 Crore
38,18,5,6,480, Sq. Yd,PKR,5.25 Crore
39,19,4,6,500, Sq. Yd,PKR,6.95 Crore
40,14,5,6,500, Sq. Yd,PKR,16.5 Crore
41,14,6,7,500, Sq. Yd,PKR,13.5 Crore
42,14,6,7,600, Sq. Yd,PKR,18  Crore
43,4,3,3,350, Sq. Yd,PKR,1.55 Crore
44,20,3,3,200, Sq. Yd,PKR,1.3 Crore
45,21,3,3,200, Sq. Yd,PKR,2  Crore
46,20,3,3,125, Sq. Yd,PKR,1.3 Crore
47,22,3,3,200, Sq. Yd,PKR,1.05 Crore
48,23,7,6,200, Sq. Yd,PKR,3  Crore
49,6,3,3,200, Sq. Yd,PKR,1.18 Crore
50,4,4,4,350, Sq. Yd,PKR,1.75 Crore
51,22,3,3,200, Sq. Yd,PKR,1.15 Crore
52,20,3,3,200, Sq. Yd,PKR,80  Lakh
53,14,9,9,700, Sq. Yd,PKR,14  Crore
54,22,3,3,235, Sq. Yd,PKR,95  Lakh
55,24,7,7,500, Sq. Yd,PKR,6.25 Crore
56,8,4,4,100, Sq. Yd,PKR,4.1 Crore
57,14,3,4,260, Sq. Yd,PKR,5  Crore
58,6,3,3,200, Sq. Yd,PKR,1.3 Crore
59,25,5,5,377.8, Sq. Yd,PKR,5  Crore
60,14,5,6,450, Sq. Yd,PKR,7.75 Crore
61,2,3,3,125, Sq. Yd,PKR,1.4 Crore
62,26,6,6,560, Sq. Yd,PKR,11.5 Crore
63,6,3,3,200, Sq. Yd,PKR,80  Lakh
64,8,4,5,120, Sq. Yd,PKR,5.35 Crore
65,14,6,6,500, Sq. Yd,PKR,10  Crore
66,2,3,3,150, Sq. Yd,PKR,1.35 Crore
67,27,6,7,"1,000", Sq. Yd,PKR,23.99 Crore
68,27,5,6,500, Sq. Yd,PKR,12.99 Crore
69,12,5,6,500, Sq. Yd,PKR,10.5 Crore
70,5,6,7,150, Sq. Yd,PKR,90  Lakh
71,4,6,7,350, Sq. Yd,PKR,1.55 Crore
72,12,3,3,300, Sq. Yd,PKR,10.75 Crore
73,28,3,4,240, Sq. Yd,PKR,2.49 Crore
74,29,3,4,125, Sq. Yd,PKR,66.42 Lakh
75,30,4,5,125, Sq. Yd,PKR,55  Lakh
76,3,4,4,200, Sq. Yd,PKR,2.1 Crore
77,8,4,2,20, Sq. Yd,PKR,4.8 Crore
